"","pval","direction","color"
"33/45 unfolded protein binding",2.39717272921735e-09,1,"#ea6227"
"18/27 oxidoreductase activity, acting on a sulfur group of donors",0.000214650163724179,1,"#ea6227"
"21/36 isomerase activity",0.0059795914579721,1,"#f09167"
"11/15 threonine-type endopeptidase activity",0.00798288426713491,1,"#f09167"
"28/60 transmembrane signaling receptor activity",0.00616665596280521,0,"grey40"
"11/16 solute:cation symporter activity",0.00101350554877053,0,"grey40"
"56/106 ion transmembrane transporter activity",0.000906390907922224,0,"black"
"77/150 transporter activity",0.00752279252410607,0,"grey40"
"8/11 voltage-gated calcium channel activity",0.00752279252410607,0,"grey40"
"24/36 channel activity",0.000146820492486524,0,"black"
"14/20 calcium ion transmembrane transporter activity",0.00415263007588554,0,"grey40"
"29/48 metal ion transmembrane transporter activity",1.37212818355107e-07,0,"black"
